u1,y,ysp
0.004358,0.79911,0.8
0.004355,0.79918,0.8
0.0043507,0.79926,0.8
0.0043455,0.79936,0.8
0.0043394,0.79948,0.8
0.0043327,0.79961,0.8
0.0043256,0.79975,0.8
0.0043183,0.79991,0.8
0.0043111,0.80008,0.8
0.0043042,0.80025,0.8
0.0042977,0.80042,0.8
0.0042918,0.80059,0.8
0.0042866,0.80075,0.8
0.0042823,0.80091,0.8
0.0042789,0.80104,0.8
0.0042765,0.80116,0.8
0.0042751,0.80126,0.8
0.0042746,0.80133,0.8
0.0042751,0.80138,0.8
0.0042764,0.8014,0.8
0.0042785,0.8014,0.8
0.0042813,0.80137,0.8
0.0042847,0.80132,0.8
0.0042885,0.80124,0.8
0.0042927,0.80114,0.8
0.0042971,0.80103,0.8
0.0043015,0.8009,0.8
0.004306,0.80076,0.8
0.0043103,0.80061,0.8
0.0043144,0.80046,0.8
0.0043181,0.8003,0.8
0.0043215,0.80015,0.8
0.0043244,0.8,0.8
0.0043268,0.79986,0.8
0.008262,0.79974,1.12
0.011099,0.79962,1.12
0.013009,0.79952,1.12
0.014154,0.79944,1.12
0.014685,0.79937,1.12
0.014723,0.79146,1.12
0.014382,0.78144,1.12
0.013774,0.77323,1.12
0.012999,0.76911,1.12
0.012151,0.77011,1.12
0.011306,0.77641,1.12
0.010523,0.78762,1.12
0.009844,0.80303,1.12
0.0092912,0.82173,1.12
0.0088725,0.84277,1.12
0.0085834,0.8652,1.12
0.0084103,0.88816,1.12
0.0083348,0.91086,1.12
0.008336,0.93267,1.12
0.0083932,0.95309,1.12
0.0084875,0.97176,1.12
0.008603,0.98847,1.12
0.0087267,1.0031,1.12
0.008849,1.0158,1.12
0.0089631,1.0265,1.12
0.009065,1.0355,1.12
0.0091524,1.0429,1.12
0.0092245,1.0491,1.12
0.009282,1.0541,1.12
0.0093259,1.0583,1.12
0.0093578,1.0618,1.12
0.0093797,1.0647,1.12
0.0093933,1.0673,1.12
0.0094006,1.0697,1.12
0.009403,1.0718,1.12
0.0094021,1.0738,1.12
0.0093991,1.0757,1.12
0.0093949,1.0776,1.12
0.0093904,1.0794,1.12
0.0093861,1.0812,1.12
0.0093825,1.083,1.12
0.0093798,1.0847,1.12
0.0093781,1.0864,1.12
0.0093775,1.088,1.12
0.0093781,1.0896,1.12
0.0093796,1.0911,1.12
0.0093821,1.0925,1.12
0.0093854,1.0938,1.12
0.0093893,1.0951,1.12
0.0093939,1.0963,1.12
0.009399,1.0974,1.12
0.0094046,1.0984,1.12
0.0094106,1.0994,1.12
0.0094169,1.1003,1.12
0.0094238,1.1011,1.12
0.0094311,1.1019,1.12
0.009439,1.1026,1.12
0.0094475,1.1032,1.12
0.0094568,1.1038,1.12
0.009467,1.1044,1.12
0.0094783,1.1049,1.12
0.0094906,1.1054,1.12
0.0095042,1.1059,1.12
0.009519,1.1063,1.12
0.009535,1.1067,1.12
0.0095522,1.1071,1.12
0.0095704,1.1074,1.12
0.0095894,1.1077,1.12
0.0096089,1.108,1.12
0.0096284,1.1083,1.12
0.0096475,1.1086,1.12
0.0096656,1.1088,1.12
0.0096822,1.1091,1.12
0.0096967,1.1093,1.12
0.0097086,1.1096,1.12
0.0097177,1.1098,1.12
0.0097239,1.1101,1.12
0.0097274,1.1104,1.12
0.0097286,1.1107,1.12
0.009728,1.111,1.12
0.0097211,1.1114,1.12
0.0097064,1.1118,1.12
0.0096845,1.1122,1.12
0.0096571,1.1126,1.12
0.0096265,1.1131,1.12
0.0095952,1.1136,1.12
0.0095653,1.1142,1.12
0.0095389,1.1148,1.12
0.0095173,1.1154,1.12
0.0095014,1.1161,1.12
0.0094915,1.1168,1.12
0.0094874,1.1174,1.12
0.0094886,1.1181,1.12
0.0094944,1.1186,1.12
0.0095037,1.1191,1.12
0.0095156,1.1195,1.12
0.009529,1.1198,1.12
0.009543,1.12,1.12
0.0095568,1.1201,1.12
0.0095278,1.1201,1.12
