u1,u2,u3,y,ysp
15.118,0.55,16.6,6.7536,6.7717
15.098,0.55,16.6,6.7606,6.7717
15.082,0.55,16.6,6.7659,6.7717
15.069,0.55,16.6,6.7697,6.7717
15.059,0.55,16.6,6.7725,6.7717
15.05,0.55,16.6,6.7745,6.7717
15.043,0.55,16.6,6.7758,6.7717
15.038,0.55,16.6,6.7765,6.7717
15.034,0.55,16.6,6.7769,6.7717
15.031,0.55,16.6,6.7771,6.7717
15.028,0.55,16.6,6.777,6.7717
15.026,0.55,16.6,6.7768,6.7717
15.025,0.55,16.6,6.7766,6.7717
15.024,0.55,16.6,6.7762,6.7717
15.023,0.55,16.6,6.7759,6.7717
15.022,0.55,16.6,6.7755,6.7717
15.022,0.55,16.6,6.7752,6.7717
15.022,0.55,16.6,6.7748,6.7717
15.022,0.55,16.6,6.7745,6.7717
15.022,0.55,16.6,6.7742,6.7717
15.022,0.55,16.6,6.774,6.7717
15.021,0.55,16.6,6.7738,6.7717
17.027,0.55,16.6,6.7735,7.7965
18.072,0.55,16.6,6.7734,7.7965
18.503,0.55,16.6,6.8625,7.7965
18.513,0.55,16.6,7.009,7.7965
18.211,0.55,16.6,7.2066,7.7965
17.671,0.55,16.6,7.4664,7.7965
16.972,0.55,16.6,7.8112,7.7965
16.271,0.55,16.6,8.172,7.7965
15.82,0.55,16.6,8.3062,7.7965
15.767,0.55,16.6,8.1855,7.7965
16.004,0.55,16.6,7.9442,7.7965
16.301,0.55,16.6,7.7635,7.7965
16.523,0.55,16.6,7.6814,7.7965
16.631,0.55,16.6,7.6698,7.7965
16.637,0.55,16.6,7.7014,7.7965
16.575,0.55,16.6,7.7536,7.7965
16.486,0.55,16.6,7.8053,7.7965
16.408,0.55,16.6,7.8394,7.7965
16.363,0.55,16.6,7.8486,7.7965
16.356,0.55,16.6,7.8375,7.7965
16.376,0.55,16.6,7.8171,7.7965
16.406,0.55,16.6,7.7981,7.7965
16.432,0.55,16.6,7.7862,7.7965
16.448,0.55,16.6,7.7825,7.7965
16.451,0.55,16.6,7.7852,7.7965
16.445,0.55,16.6,7.791,7.7965
16.435,0.55,16.6,7.7969,7.7965
16.427,0.55,16.6,7.8008,7.7965
16.421,0.55,16.6,7.8021,7.7965
16.42,0.55,16.6,7.8012,7.7965
16.422,0.55,16.6,7.7992,7.7965
16.425,0.55,16.6,7.7971,7.7965
16.428,0.55,16.6,7.7957,7.7965
16.43,0.55,16.6,7.7951,7.7965
16.43,0.55,16.6,7.7953,7.7965
16.43,0.55,16.6,7.7959,7.7965
16.429,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.797,7.7965
16.427,0.55,16.6,7.7972,7.7965
16.427,0.55,16.6,7.7972,7.7965
16.427,0.55,16.6,7.797,7.7965
16.427,0.55,16.6,7.7968,7.7965
16.428,0.55,16.6,7.7966,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7966,7.7965
16.428,0.55,16.6,7.7966,7.7965
18.402,0.55,16.6,7.7966,9.1468
19.252,0.55,16.6,7.7966,9.1468
18.8,0.55,16.6,8.4006,9.1468
18.213,0.55,16.6,8.9502,9.1468
17.739,0.55,16.6,9.1516,9.1468
17.39,0.55,16.6,9.2372,9.1468
17.157,0.55,16.6,9.2693,9.1468
17.023,0.55,16.6,9.2718,9.1468
16.966,0.55,16.6,9.2573,9.1468
16.963,0.55,16.6,9.2339,9.1468
16.993,0.55,16.6,9.2078,9.1468
17.038,0.55,16.6,9.1834,9.1468
17.086,0.55,16.6,9.1635,9.1468
17.127,0.55,16.6,9.1494,9.1468
17.158,0.55,16.6,9.141,9.1468
17.178,0.55,16.6,9.1374,9.1468
17.189,0.55,16.6,9.137,9.1468
17.193,0.55,16.6,9.1386,9.1468
17.192,0.55,16.6,9.1409,9.1468
17.188,0.55,16.6,9.1433,9.1468
17.184,0.55,16.6,9.1453,9.1468
17.18,0.55,16.6,9.1468,9.1468
17.177,0.55,16.6,9.1476,9.1468
17.174,0.55,16.6,9.1481,9.1468
17.173,0.55,16.6,9.1481,9.1468
17.172,0.55,16.6,9.148,9.1468
17.172,0.55,16.6,9.1478,9.1468
17.173,0.55,16.6,9.1475,9.1468
17.173,0.55,16.6,9.1472,9.1468
17.173,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.1469,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1469,9.1468
17.174,0.55,16.6,9.1469,9.1468
17.174,0.55,16.6,9.1469,9.1468
14.544,0.55,16.6,9.1469,7.6933
13.139,0.55,16.6,9.1469,7.6933
13.314,0.55,16.6,8.8247,7.6933
14.923,0.55,16.6,7.8094,7.6933
16.134,0.55,16.6,7.3428,7.6933
16.837,0.55,16.6,7.2372,7.6933
17.148,0.55,16.6,7.2532,7.6933
17.179,0.55,16.6,7.3337,7.6933
17.027,0.55,16.6,7.4537,7.6933
16.775,0.55,16.6,7.5929,7.6933
16.507,0.55,16.6,7.723,7.6933
16.297,0.55,16.6,7.8071,7.6933
16.189,0.55,16.6,7.8245,7.6933
16.181,0.55,16.6,7.7908,7.6933
16.236,0.55,16.6,7.7395,7.6933
16.31,0.55,16.6,7.6962,7.6933
16.372,0.55,16.6,7.6704,7.6933
16.409,0.55,16.6,7.6618,7.6933
16.42,0.55,16.6,7.6655,7.6933
16.413,0.55,16.6,7.6757,7.6933
16.397,0.55,16.6,7.687,7.6933
16.379,0.55,16.6,7.6959,7.6933
16.366,0.55,16.6,7.7006,7.6933
16.359,0.55,16.6,7.7014,7.6933
16.359,0.55,16.6,7.6996,7.6933
16.362,0.55,16.6,7.6967,7.6933
16.366,0.55,16.6,7.694,7.6933
16.37,0.55,16.6,7.6922,7.6933
16.373,0.55,16.6,7.6915,7.6933
16.374,0.55,16.6,7.6916,7.6933
16.373,0.55,16.6,7.6922,7.6933
15.191,0.55,16.6,7.6929,6.9108
14.674,0.55,16.6,7.6935,6.9108
14.575,0.55,16.6,7.5037,6.9108
14.653,0.55,16.6,7.325,6.9108
14.784,0.55,16.6,7.1965,6.9108
14.915,0.55,16.6,7.1076,6.9108
15.027,0.55,16.6,7.0462,6.9108
15.117,0.55,16.6,7.0036,6.9108
15.185,0.55,16.6,6.9741,6.9108
15.236,0.55,16.6,6.9537,6.9108
15.273,0.55,16.6,6.9395,6.9108
15.3,0.55,16.6,6.9298,6.9108
15.319,0.55,16.6,6.9232,6.9108
15.332,0.55,16.6,6.9187,6.9108
15.342,0.55,16.6,6.9156,6.9108
15.348,0.55,16.6,6.9137,6.9108
15.353,0.55,16.6,6.9124,6.9108
15.356,0.55,16.6,6.9116,6.9108
15.358,0.55,16.6,6.9111,6.9108
15.36,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9107,6.9108
15.361,0.55,16.6,6.9107,6.9108
15.362,0.55,16.6,6.9107,6.9108
15.362,0.55,16.6,6.9107,6.9108
15.362,0.55,16.6,6.9108,6.9108
15.362,0.55,16.6,6.9108,6.9108
15.362,0.55,16.6,6.9109,6.9108
15.362,0.55,16.6,6.9109,6.9108
15.362,0.55,16.6,6.911,6.9108
15.362,0.55,16.6,6.911,6.9108
15.362,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
