u1,u2,u3,y,ysp
14.989,0.55,16.6,6.7566,6.7717
14.999,0.55,16.6,6.7565,6.7717
15.008,0.55,16.6,6.7569,6.7717
15.014,0.55,16.6,6.7576,6.7717
15.019,0.55,16.6,6.7586,6.7717
15.022,0.55,16.6,6.7597,6.7717
15.024,0.55,16.6,6.761,6.7717
15.025,0.55,16.6,6.7622,6.7717
15.025,0.55,16.6,6.7633,6.7717
15.024,0.55,16.6,6.7644,6.7717
15.024,0.55,16.6,6.7654,6.7717
15.023,0.55,16.6,6.7662,6.7717
15.022,0.55,16.6,6.7669,6.7717
15.022,0.55,16.6,6.7675,6.7717
15.021,0.55,16.6,6.768,6.7717
15.021,0.55,16.6,6.7685,6.7717
15.021,0.55,16.6,6.7689,6.7717
15.021,0.55,16.6,6.7692,6.7717
15.021,0.55,16.6,6.7695,6.7717
15.021,0.55,16.6,6.7697,6.7717
15.021,0.55,16.6,6.7699,6.7717
16.263,0.55,16.6,6.7701,7.7965
17.422,0.55,16.6,6.7703,7.7965
18.105,0.55,16.6,6.8243,7.7965
18.207,0.55,16.6,6.9332,7.7965
17.89,0.55,16.6,7.0892,7.7965
17.409,0.55,16.6,7.2795,7.7965
16.954,0.55,16.6,7.4841,7.7965
16.626,0.55,16.6,7.6688,7.7965
16.439,0.55,16.6,7.7912,7.7965
16.359,0.55,16.6,7.8386,7.7965
16.345,0.55,16.6,7.8362,7.7965
16.363,0.55,16.6,7.8151,7.7965
16.39,0.55,16.6,7.7939,7.7965
16.413,0.55,16.6,7.7797,7.7965
16.429,0.55,16.6,7.7733,7.7965
16.436,0.55,16.6,7.7727,7.7965
16.438,0.55,16.6,7.7756,7.7965
16.437,0.55,16.6,7.78,7.7965
16.435,0.55,16.6,7.7842,7.7965
16.432,0.55,16.6,7.7878,7.7965
16.43,0.55,16.6,7.7904,7.7965
16.429,0.55,16.6,7.7921,7.7965
16.428,0.55,16.6,7.7932,7.7965
16.428,0.55,16.6,7.7938,7.7965
16.428,0.55,16.6,7.7942,7.7965
16.428,0.55,16.6,7.7944,7.7965
16.428,0.55,16.6,7.7947,7.7965
16.428,0.55,16.6,7.7948,7.7965
16.428,0.55,16.6,7.795,7.7965
16.428,0.55,16.6,7.7952,7.7965
16.428,0.55,16.6,7.7953,7.7965
16.427,0.55,16.6,7.7954,7.7965
16.427,0.55,16.6,7.7955,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.796,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7963,7.7965
16.428,0.55,16.6,7.7963,7.7965
17.648,0.55,16.6,7.7963,9.1468
18.19,0.55,16.6,7.7963,9.1468
18.202,0.55,16.6,8.1451,9.1468
18.028,0.55,16.6,8.6413,9.1468
17.804,0.55,16.6,8.9091,9.1468
17.586,0.55,16.6,9.0486,9.1468
17.405,0.55,16.6,9.125,9.1468
17.271,0.55,16.6,9.1652,9.1468
17.184,0.55,16.6,9.183,9.1468
17.136,0.55,16.6,9.187,9.1468
17.117,0.55,16.6,9.1832,9.1468
17.117,0.55,16.6,9.1757,9.1468
17.126,0.55,16.6,9.1674,9.1468
17.139,0.55,16.6,9.16,9.1468
17.152,0.55,16.6,9.1541,9.1468
17.162,0.55,16.6,9.1501,9.1468
17.17,0.55,16.6,9.1477,9.1468
17.175,0.55,16.6,9.1465,9.1468
17.177,0.55,16.6,9.1462,9.1468
17.178,0.55,16.6,9.1463,9.1468
17.178,0.55,16.6,9.1467,9.1468
17.177,0.55,16.6,9.1471,9.1468
17.177,0.55,16.6,9.1474,9.1468
17.176,0.55,16.6,9.1476,9.1468
17.175,0.55,16.6,9.1478,9.1468
17.175,0.55,16.6,9.1478,9.1468
17.174,0.55,16.6,9.1478,9.1468
17.174,0.55,16.6,9.1477,9.1468
17.174,0.55,16.6,9.1476,9.1468
17.174,0.55,16.6,9.1475,9.1468
17.174,0.55,16.6,9.1474,9.1468
17.174,0.55,16.6,9.1473,9.1468
17.174,0.55,16.6,9.1472,9.1468
17.174,0.55,16.6,9.1472,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.147,9.1468
15.671,0.55,16.6,9.147,7.6933
14.821,0.55,16.6,9.147,7.6933
14.884,0.55,16.6,8.9879,7.6933
15.341,0.55,16.6,8.6082,7.6933
15.791,0.55,16.6,8.0267,7.6933
16.136,0.55,16.6,7.726,7.6933
16.355,0.55,16.6,7.6158,7.6933
16.462,0.55,16.6,7.5858,7.6933
16.491,0.55,16.6,7.5946,7.6933
16.476,0.55,16.6,7.6204,7.6933
16.443,0.55,16.6,7.6494,7.6933
16.41,0.55,16.6,7.6735,7.6933
