u1,u2,u3,y,ysp
14.98,0.55,16.6,6.7568,6.7717
14.991,0.55,16.6,6.7563,6.7717
15.001,0.55,16.6,6.7563,6.7717
15.009,0.55,16.6,6.7568,6.7717
15.015,0.55,16.6,6.7576,6.7717
15.02,0.55,16.6,6.7586,6.7717
15.023,0.55,16.6,6.7598,6.7717
15.024,0.55,16.6,6.7611,6.7717
15.025,0.55,16.6,6.7623,6.7717
15.025,0.55,16.6,6.7635,6.7717
15.024,0.55,16.6,6.7646,6.7717
15.024,0.55,16.6,6.7655,6.7717
15.023,0.55,16.6,6.7663,6.7717
15.022,0.55,16.6,6.767,6.7717
15.022,0.55,16.6,6.7676,6.7717
15.021,0.55,16.6,6.7681,6.7717
15.021,0.55,16.6,6.7685,6.7717
15.021,0.55,16.6,6.7689,6.7717
15.021,0.55,16.6,6.7692,6.7717
15.021,0.55,16.6,6.7695,6.7717
15.021,0.55,16.6,6.7697,6.7717
15.021,0.55,16.6,6.7699,6.7717
16.263,0.55,16.6,6.7701,7.7965
17.414,0.55,16.6,6.7703,7.7965
18.057,0.55,16.6,6.8243,7.7965
18.118,0.55,16.6,6.9328,7.7965
17.815,0.55,16.6,7.0856,7.7965
17.388,0.55,16.6,7.267,7.7965
16.984,0.55,16.6,7.4585,7.7965
16.676,0.55,16.6,7.6335,7.7965
16.482,0.55,16.6,7.7592,7.7965
16.386,0.55,16.6,7.8198,7.7965
16.358,0.55,16.6,7.8299,7.7965
16.366,0.55,16.6,7.816,7.7965
16.388,0.55,16.6,7.7975,7.7965
16.409,0.55,16.6,7.7834,7.7965
16.425,0.55,16.6,7.7759,7.7965
16.434,0.55,16.6,7.7742,7.7965
16.437,0.55,16.6,7.7762,7.7965
16.437,0.55,16.6,7.7799,7.7965
16.435,0.55,16.6,7.7838,7.7965
16.432,0.55,16.6,7.7873,7.7965
16.43,0.55,16.6,7.79,7.7965
16.429,0.55,16.6,7.7918,7.7965
16.428,0.55,16.6,7.793,7.7965
16.428,0.55,16.6,7.7937,7.7965
16.428,0.55,16.6,7.7941,7.7965
16.428,0.55,16.6,7.7944,7.7965
16.428,0.55,16.6,7.7947,7.7965
16.428,0.55,16.6,7.7948,7.7965
16.428,0.55,16.6,7.795,7.7965
16.428,0.55,16.6,7.7952,7.7965
16.428,0.55,16.6,7.7953,7.7965
16.427,0.55,16.6,7.7954,7.7965
16.427,0.55,16.6,7.7955,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.796,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7963,7.7965
16.428,0.55,16.6,7.7963,7.7965
17.648,0.55,16.6,7.7963,9.1468
18.172,0.55,16.6,7.7963,9.1468
18.223,0.55,16.6,8.1451,9.1468
18.06,0.55,16.6,8.6371,9.1468
17.823,0.55,16.6,8.91,9.1468
17.59,0.55,16.6,9.0527,9.1468
17.399,0.55,16.6,9.13,9.1468
17.261,0.55,16.6,9.1696,9.1468
17.175,0.55,16.6,9.1862,9.1468
17.129,0.55,16.6,9.189,9.1468
17.113,0.55,16.6,9.1843,9.1468
17.114,0.55,16.6,9.1761,9.1468
17.125,0.55,16.6,9.1674,9.1468
17.139,0.55,16.6,9.1597,9.1468
17.152,0.55,16.6,9.1538,9.1468
17.163,0.55,16.6,9.1498,9.1468
17.171,0.55,16.6,9.1474,9.1468
17.175,0.55,16.6,9.1463,9.1468
17.178,0.55,16.6,9.1461,9.1468
17.179,0.55,16.6,9.1463,9.1468
17.178,0.55,16.6,9.1467,9.1468
17.178,0.55,16.6,9.1471,9.1468
17.177,0.55,16.6,9.1474,9.1468
17.176,0.55,16.6,9.1476,9.1468
17.175,0.55,16.6,9.1478,9.1468
17.174,0.55,16.6,9.1478,9.1468
17.174,0.55,16.6,9.1478,9.1468
17.174,0.55,16.6,9.1477,9.1468
17.174,0.55,16.6,9.1476,9.1468
17.174,0.55,16.6,9.1475,9.1468
17.174,0.55,16.6,9.1474,9.1468
17.174,0.55,16.6,9.1473,9.1468
17.174,0.55,16.6,9.1472,9.1468
17.174,0.55,16.6,9.1472,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.147,9.1468
15.671,0.55,16.6,9.147,7.6933
14.888,0.55,16.6,9.147,7.6933
14.925,0.55,16.6,8.9879,7.6933
15.317,0.55,16.6,8.6244,7.6933
15.77,0.55,16.6,8.0579,7.6933
16.126,0.55,16.6,7.7392,7.6933
16.349,0.55,16.6,7.6218,7.6933
16.457,0.55,16.6,7.5892,7.6933
16.487,0.55,16.6,7.5967,7.6933
16.473,0.55,16.6,7.6215,7.6933
16.442,0.55,16.6,7.6496,7.6933
16.41,0.55,16.6,7.6732,7.6933
16.385,0.55,16.6,7.6889,7.6933
16.37,0.55,16.6,7.697,7.6933
16.362,0.55,16.6,7.6994,7.6933
16.36,0.55,16.6,7.6985,7.6933
16.362,0.55,16.6,7.6963,7.6933
16.364,0.55,16.6,7.694,7.6933
16.367,0.55,16.6,7.6922,7.6933
16.369,0.55,16.6,7.691,7.6933
16.37,0.55,16.6,7.6905,7.6933
