u1,u2,u3,y,ysp
14.991,0.55,16.6,6.76,6.7717
14.995,0.55,16.6,6.7599,6.7717
15,0.55,16.6,6.76,6.7717
15.006,0.55,16.6,6.7602,6.7717
15.01,0.55,16.6,6.7606,6.7717
15.014,0.55,16.6,6.7612,6.7717
15.017,0.55,16.6,6.7619,6.7717
15.019,0.55,16.6,6.7627,6.7717
15.021,0.55,16.6,6.7635,6.7717
15.022,0.55,16.6,6.7643,6.7717
15.022,0.55,16.6,6.7651,6.7717
15.022,0.55,16.6,6.7659,6.7717
15.022,0.55,16.6,6.7666,6.7717
15.022,0.55,16.6,6.7672,6.7717
15.022,0.55,16.6,6.7677,6.7717
15.022,0.55,16.6,6.7682,6.7717
15.021,0.55,16.6,6.7686,6.7717
15.021,0.55,16.6,6.769,6.7717
15.021,0.55,16.6,6.7693,6.7717
15.021,0.55,16.6,6.7696,6.7717
15.021,0.55,16.6,6.7698,6.7717
16.263,0.55,16.6,6.77,7.7965
17.342,0.55,16.6,6.7702,7.7965
17.809,0.55,16.6,6.8243,7.7965
17.904,0.55,16.6,6.929,7.7965
17.661,0.55,16.6,7.0655,7.7965
17.368,0.55,16.6,7.2251,7.7965
17.034,0.55,16.6,7.3891,7.7965
16.774,0.55,16.6,7.5468,7.7965
16.589,0.55,16.6,7.6731,7.7965
16.478,0.55,16.6,7.7559,7.7965
16.422,0.55,16.6,7.7964,7.7965
16.4,0.55,16.6,7.8081,7.7965
16.398,0.55,16.6,7.8054,7.7965
16.405,0.55,16.6,7.7981,7.7965
16.413,0.55,16.6,7.7912,7.7965
16.421,0.55,16.6,7.7866,7.7965
16.426,0.55,16.6,7.7844,7.7965
16.429,0.55,16.6,7.7843,7.7965
16.431,0.55,16.6,7.7853,7.7965
16.431,0.55,16.6,7.7869,7.7965
16.431,0.55,16.6,7.7887,7.7965
16.43,0.55,16.6,7.7903,7.7965
16.429,0.55,16.6,7.7917,7.7965
16.429,0.55,16.6,7.7927,7.7965
16.428,0.55,16.6,7.7935,7.7965
16.428,0.55,16.6,7.7941,7.7965
16.428,0.55,16.6,7.7945,7.7965
16.428,0.55,16.6,7.7948,7.7965
16.428,0.55,16.6,7.795,7.7965
16.427,0.55,16.6,7.7952,7.7965
16.427,0.55,16.6,7.7953,7.7965
16.427,0.55,16.6,7.7954,7.7965
16.427,0.55,16.6,7.7955,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.796,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7963,7.7965
17.648,0.55,16.6,7.7963,9.1468
17.99,0.55,16.6,7.7963,9.1468
18.009,0.55,16.6,8.1451,9.1468
17.891,0.55,16.6,8.5919,9.1468
17.729,0.55,16.6,8.8521,9.1468
17.568,0.55,16.6,8.9944,9.1468
17.431,0.55,16.6,9.0767,9.1468
17.325,0.55,16.6,9.1245,9.1468
17.249,0.55,16.6,9.1509,9.1468
17.2,0.55,16.6,9.1639,9.1468
17.171,0.55,16.6,9.1685,9.1468
17.156,0.55,16.6,9.1682,9.1468
17.151,0.55,16.6,9.1654,9.1468
17.152,0.55,16.6,9.1617,9.1468
17.156,0.55,16.6,9.1579,9.1468
17.16,0.55,16.6,9.1546,9.1468
17.165,0.55,16.6,9.152,9.1468
17.169,0.55,16.6,9.1502,9.1468
17.171,0.55,16.6,9.1489,9.1468
17.173,0.55,16.6,9.1482,9.1468
17.174,0.55,16.6,9.1478,9.1468
17.175,0.55,16.6,9.1476,9.1468
17.175,0.55,16.6,9.1475,9.1468
17.175,0.55,16.6,9.1475,9.1468
17.175,0.55,16.6,9.1475,9.1468
17.175,0.55,16.6,9.1475,9.1468
17.175,0.55,16.6,9.1475,9.1468
17.174,0.55,16.6,9.1475,9.1468
17.174,0.55,16.6,9.1475,9.1468
17.174,0.55,16.6,9.1474,9.1468
17.174,0.55,16.6,9.1474,9.1468
17.174,0.55,16.6,9.1473,9.1468
17.174,0.55,16.6,9.1473,9.1468
17.174,0.55,16.6,9.1472,9.1468
17.174,0.55,16.6,9.1472,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.147,9.1468
15.671,0.55,16.6,9.147,7.6933
15.265,0.55,16.6,9.147,7.6933
15.297,0.55,16.6,8.9879,7.6933
15.536,0.55,16.6,8.7093,7.6933
15.806,0.55,16.6,8.2934,7.6933
16.035,0.55,16.6,7.9431,7.6933
16.201,0.55,16.6,7.7712,7.6933
16.309,0.55,16.6,7.6932,7.6933
16.368,0.55,16.6,7.6616,7.6933
16.395,0.55,16.6,7.6539,7.6933
16.402,0.55,16.6,7.6579,7.6933
16.398,0.55,16.6,7.6664,7.6933
16.391,0.55,16.6,7.6752,7.6933
16.383,0.55,16.6,7.6824,7.6933
16.377,0.55,16.6,7.6875,7.6933
16.372,0.55,16.6,7.6905,7.6933
16.37,0.55,16.6,7.6919,7.6933
16.369,0.55,16.6,7.6924,7.6933
16.368,0.55,16.6,7.6923,7.6933
16.369,0.55,16.6,7.692,7.6933
16.369,0.55,16.6,7.6917,7.6933
16.369,0.55,16.6,7.6914,7.6933
16.37,0.55,16.6,7.6913,7.6933
16.37,0.55,16.6,7.6913,7.6933
16.37,0.55,16.6,7.6913,7.6933
16.37,0.55,16.6,7.6914,7.6933
16.371,0.55,16.6,7.6916,7.6933
16.371,0.55,16.6,7.6917,7.6933
16.371,0.55,16.6,7.6919,7.6933
16.371,0.55,16.6,7.692,7.6933
16.371,0.55,16.6,7.6922,7.6933
15.647,0.55,16.6,7.6923,6.9108
15.175,0.55,16.6,7.6924,6.9108
14.911,0.55,16.6,7.5686,6.9108
14.795,0.55,16.6,7.4206,6.9108
14.775,0.55,16.6,7.2919,6.9108
14.815,0.55,16.6,7.1895,6.9108
14.887,0.55,16.6,7.1104,6.9108
14.971,0.55,16.6,7.0504,6.9108
15.055,0.55,16.6,7.0055,6.9108
15.132,0.55,16.6,6.9726,6.9108
15.198,0.55,16.6,6.9492,6.9108
15.251,0.55,16.6,6.9329,6.9108
15.292,0.55,16.6,6.9221,6.9108
15.322,0.55,16.6,6.9153,6.9108
15.343,0.55,16.6,6.9113,6.9108
15.356,0.55,16.6,6.9093,6.9108
15.364,0.55,16.6,6.9086,6.9108
15.368,0.55,16.6,6.9086,6.9108
15.369,0.55,16.6,6.909,6.9108
15.369,0.55,16.6,6.9095,6.9108
15.368,0.55,16.6,6.9101,6.9108
15.366,0.55,16.6,6.9106,6.9108
15.365,0.55,16.6,6.9109,6.9108
15.364,0.55,16.6,6.9112,6.9108
15.363,0.55,16.6,6.9113,6.9108
15.362,0.55,16.6,6.9114,6.9108
15.361,0.55,16.6,6.9114,6.9108
15.361,0.55,16.6,6.9114,6.9108
15.361,0.55,16.6,6.9114,6.9108
15.361,0.55,16.6,6.9113,6.9108
15.361,0.55,16.6,6.9112,6.9108
15.361,0.55,16.6,6.9112,6.9108
15.361,0.55,16.6,6.9111,6.9108
15.361,0.55,16.6,6.9111,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
12.407,0.55,16.6,6.9109,4.3867
9.5304,0.55,16.6,6.9109,4.3867
7.3017,0.55,16.6,6.7763,4.3867
6.3887,0.55,16.6,6.568,4.3867
6.4894,0.55,16.6,6.3329,4.3867
7.1114,0.55,16.6,6.0954,4.3867
7.8991,0.55,16.6,5.8563,4.3867
8.6447,0.55,16.6,5.608,4.3867
9.2685,0.55,16.6,5.3411,4.3867
9.7574,0.55,16.6,5.0582,4.3867
10.122,0.55,16.6,4.8077,4.3867
10.379,0.55,16.6,4.6435,4.3867
10.549,0.55,16.6,4.5539,4.3867
10.652,0.55,16.6,4.5094,4.3867
10.705,0.55,16.6,4.4903,4.3867
10.724,0.55,16.6,4.485,4.3867
10.722,0.55,16.6,4.4863,4.3867
10.707,0.55,16.6,4.4896,4.3867
10.687,0.55,16.6,4.4923,4.3867
10.667,0.55,16.6,4.493,4.3867
10.648,0.55,16.6,4.4915,4.3867
10.633,0.55,16.6,4.4877,4.3867
10.621,0.55,16.6,4.4822,4.3867
10.612,0.55,16.6,4.4756,4.3867
10.606,0.55,16.6,4.4683,4.3867
15.717,0.55,16.6,4.4608,9.7778
20.008,0.55,16.6,4.4535,9.7778
22.58,0.55,16.6,5.1216,9.7778
23.892,0.55,16.6,5.7613,9.7778
24.215,0.55,16.6,6.1704,9.7778
23.813,0.55,16.6,6.5304,9.7778
23.118,0.55,16.6,6.9415,9.7778
22.33,0.55,16.6,7.7412,9.7778
21.558,0.55,16.6,9.162,9.7778
20.864,0.55,16.6,9.4896,9.7778
20.275,0.55,16.6,9.6443,9.7778
19.797,0.55,16.6,9.7313,9.7778
19.423,0.55,16.6,9.7818,9.7778
19.143,0.55,16.6,9.8099,9.7778
18.942,0.55,16.6,9.8235,9.7778
18.805,0.55,16.6,9.8278,9.7778
18.719,0.55,16.6,9.8261,9.7778
18.67,0.55,16.6,9.8209,9.7778
18.649,0.55,16.6,9.814,9.7778
18.647,0.55,16.6,9.8065,9.7778
18.656,0.55,16.6,9.7993,9.7778
18.672,0.55,16.6,9.7929,9.7778
18.691,0.55,16.6,9.7875,9.7778
18.71,0.55,16.6,9.7832,9.7778
18.728,0.55,16.6,9.7799,9.7778
18.743,0.55,16.6,9.7776,9.7778
18.756,0.55,16.6,9.7761,9.7778
18.766,0.55,16.6,9.7752,9.7778
18.773,0.55,16.6,9.7747,9.7778
18.779,0.55,16.6,9.7746,9.7778
18.782,0.55,16.6,9.7748,9.7778
18.784,0.55,16.6,9.7751,9.7778
18.786,0.55,16.6,9.7754,9.7778
18.786,0.55,16.6,9.7758,9.7778
18.786,0.55,16.6,9.7762,9.7778
18.786,0.55,16.6,9.7765,9.7778
18.785,0.55,16.6,9.7768,9.7778
18.784,0.55,16.6,9.777,9.7778
18.784,0.55,16.6,9.7772,9.7778
18.783,0.55,16.6,9.7774,9.7778
18.783,0.55,16.6,9.7775,9.7778
18.782,0.55,16.6,9.7776,9.7778
18.782,0.55,16.6,9.7776,9.7778
18.782,0.55,16.6,9.7777,9.7778
18.782,0.55,16.6,9.7777,9.7778
18.782,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
18.781,0.55,16.6,9.7777,9.7778
16.025,0.55,16.6,9.7777,7.8463
14.192,0.55,16.6,9.7777,7.8463
13.552,0.55,16.6,9.6928,7.8463
13.853,0.55,16.6,9.533,7.8463
14.416,0.55,16.6,9.2998,7.8463
15.125,0.55,16.6,8.9788,7.8463
15.702,0.55,16.6,8.4816,7.8463
16.105,0.55,16.6,7.9749,7.8463
16.351,0.55,16.6,7.77,7.8463
16.476,0.55,16.6,7.7059,7.8463
16.524,0.55,16.6,7.7005,7.8463
16.527,0.55,16.6,7.7206,7.8463
16.51,0.55,16.6,7.7489,7.8463
16.488,0.55,16.6,7.7757,7.8463
16.47,0.55,16.6,7.7966,7.8463
16.457,0.55,16.6,7.8106,7.8463
16.449,0.55,16.6,7.8189,7.8463
16.446,0.55,16.6,7.8232,7.8463
16.445,0.55,16.6,7.8252,7.8463
16.446,0.55,16.6,7.8262,7.8463
16.447,0.55,16.6,7.8269,7.8463
16.449,0.55,16.6,7.8276,7.8463
16.45,0.55,16.6,7.8286,7.8463
16.45,0.55,16.6,7.8298,7.8463
16.451,0.55,16.6,7.8312,7.8463
16.451,0.55,16.6,7.8325,7.8463
16.452,0.55,16.6,7.8339,7.8463
16.452,0.55,16.6,7.8352,7.8463
16.452,0.55,16.6,7.8364,7.8463
16.452,0.55,16.6,7.8375,7.8463
16.452,0.55,16.6,7.8385,7.8463
16.452,0.55,16.6,7.8393,7.8463
16.452,0.55,16.6,7.8401,7.8463
16.452,0.55,16.6,7.8408,7.8463
16.452,0.55,16.6,7.8414,7.8463
16.452,0.55,16.6,7.842,7.8463
16.452,0.55,16.6,7.8425,7.8463
16.452,0.55,16.6,7.843,7.8463
16.452,0.55,16.6,7.8434,7.8463
16.452,0.55,16.6,7.8437,7.8463
16.452,0.55,16.6,7.8441,7.8463
16.452,0.55,16.6,7.8443,7.8463
16.452,0.55,16.6,7.8446,7.8463
16.452,0.55,16.6,7.8448,7.8463
16.452,0.55,16.6,7.845,7.8463
16.452,0.55,16.6,7.8452,7.8463
16.452,0.55,16.6,7.8454,7.8463
17.72,0.55,16.6,7.8455,9.2622
18.126,0.55,16.6,7.8456,9.2622
18.2,0.55,16.6,8.232,9.2622
18.121,0.55,16.6,8.6784,9.2622
17.982,0.55,16.6,8.9292,9.2622
17.831,0.55,16.6,9.072,9.2622
17.693,0.55,16.6,9.159,9.2622
17.577,0.55,16.6,9.213,9.2622
17.487,0.55,16.6,9.246,9.2622
17.421,0.55,16.6,9.2651,9.2622
17.377,0.55,16.6,9.275,9.2622
17.349,0.55,16.6,9.279,9.2622
17.333,0.55,16.6,9.2794,9.2622
17.326,0.55,16.6,9.2778,9.2622
17.325,0.55,16.6,9.2752,9.2622
17.327,0.55,16.6,9.2725,9.2622
17.33,0.55,16.6,9.27,9.2622
17.333,0.55,16.6,9.2679,9.2622
17.337,0.55,16.6,9.2663,9.2622
17.339,0.55,16.6,9.2651,9.2622
17.341,0.55,16.6,9.2643,9.2622
17.343,0.55,16.6,9.2638,9.2622
17.344,0.55,16.6,9.2634,9.2622
17.344,0.55,16.6,9.2633,9.2622
17.344,0.55,16.6,9.2632,9.2622
17.344,0.55,16.6,9.2631,9.2622
17.344,0.55,16.6,9.2631,9.2622
17.344,0.55,16.6,9.2631,9.2622
17.344,0.55,16.6,9.2631,9.2622
17.344,0.55,16.6,9.263,9.2622
17.343,0.55,16.6,9.263,9.2622
17.343,0.55,16.6,9.2629,9.2622
15.55,0.55,16.6,9.2629,9.2622
