u1,u2,u3,y,ysp
14.831,0.55,16.6,6.2014,6.7717
14.867,0.55,16.6,6.252,6.7717
14.898,0.55,16.6,6.2982,6.7717
14.924,0.55,16.6,6.3405,6.7717
14.946,0.55,16.6,6.3795,6.7717
14.964,0.55,16.6,6.4153,6.7717
14.98,0.55,16.6,6.4484,6.7717
14.993,0.55,16.6,6.4788,6.7717
15.003,0.55,16.6,6.5068,6.7717
15.011,0.55,16.6,6.5325,6.7717
15.018,0.55,16.6,6.5561,6.7717
15.023,0.55,16.6,6.5777,6.7717
15.027,0.55,16.6,6.5975,6.7717
15.03,0.55,16.6,6.6155,6.7717
15.032,0.55,16.6,6.632,6.7717
15.034,0.55,16.6,6.6469,6.7717
15.035,0.55,16.6,6.6604,6.7717
15.035,0.55,16.6,6.6726,6.7717
15.035,0.55,16.6,6.6836,6.7717
15.035,0.55,16.6,6.6936,6.7717
15.035,0.55,16.6,6.7025,6.7717
15.034,0.55,16.6,6.7105,6.7717
15.034,0.55,16.6,6.7176,6.7717
15.033,0.55,16.6,6.724,6.7717
15.033,0.55,16.6,6.7297,6.7717
15.032,0.55,16.6,6.7347,6.7717
15.031,0.55,16.6,6.7392,6.7717
15.03,0.55,16.6,6.7432,6.7717
15.03,0.55,16.6,6.7467,6.7717
15.029,0.55,16.6,6.7498,6.7717
15.029,0.55,16.6,6.7526,6.7717
15.028,0.55,16.6,6.755,6.7717
15.028,0.55,16.6,6.7572,6.7717
16.272,0.55,16.6,6.7591,7.7965
16.876,0.55,16.6,6.7607,7.7965
17.151,0.55,16.6,6.8157,7.7965
17.25,0.55,16.6,6.897,7.7965
17.252,0.55,16.6,6.9926,7.7965
17.2,0.55,16.6,7.097,7.7965
17.118,0.55,16.6,7.2071,7.7965
17.019,0.55,16.6,7.3209,7.7965
16.91,0.55,16.6,7.436,7.7965
16.8,0.55,16.6,7.5485,7.7965
16.693,0.55,16.6,7.6524,7.7965
16.597,0.55,16.6,7.7401,7.7965
16.519,0.55,16.6,7.805,7.7965
16.463,0.55,16.6,7.8445,7.7965
16.428,0.55,16.6,7.8615,7.7965
16.41,0.55,16.6,7.8624,7.7965
16.405,0.55,16.6,7.8545,7.7965
16.407,0.55,16.6,7.8432,7.7965
16.411,0.55,16.6,7.8322,7.7965
16.416,0.55,16.6,7.8229,7.7965
16.42,0.55,16.6,7.8159,7.7965
16.423,0.55,16.6,7.8109,7.7965
16.425,0.55,16.6,7.8074,7.7965
16.426,0.55,16.6,7.805,7.7965
16.427,0.55,16.6,7.8034,7.7965
16.427,0.55,16.6,7.8022,7.7965
16.427,0.55,16.6,7.8012,7.7965
16.427,0.55,16.6,7.8005,7.7965
16.427,0.55,16.6,7.7999,7.7965
16.427,0.55,16.6,7.7993,7.7965
16.427,0.55,16.6,7.7989,7.7965
16.427,0.55,16.6,7.7985,7.7965
16.427,0.55,16.6,7.7982,7.7965
16.428,0.55,16.6,7.7979,7.7965
16.428,0.55,16.6,7.7977,7.7965
16.428,0.55,16.6,7.7975,7.7965
16.428,0.55,16.6,7.7974,7.7965
16.428,0.55,16.6,7.7973,7.7965
16.428,0.55,16.6,7.7972,7.7965
16.428,0.55,16.6,7.7971,7.7965
16.428,0.55,16.6,7.7971,7.7965
16.428,0.55,16.6,7.797,7.7965
16.428,0.55,16.6,7.797,7.7965
16.428,0.55,16.6,7.7969,7.7965
16.428,0.55,16.6,7.7969,7.7965
16.428,0.55,16.6,7.7968,7.7965
16.428,0.55,16.6,7.7968,7.7965
16.428,0.55,16.6,7.7968,7.7965
17.648,0.55,16.6,7.7968,9.1468
18.112,0.55,16.6,7.7967,9.1468
18.002,0.55,16.6,8.1456,9.1468
17.692,0.55,16.6,8.6228,9.1468
17.482,0.55,16.6,8.8684,9.1468
17.365,0.55,16.6,8.9806,9.1468
17.3,0.55,16.6,9.0393,9.1468
17.263,0.55,16.6,9.0737,9.1468
17.24,0.55,16.6,9.0957,9.1468
17.225,0.55,16.6,9.1108,9.1468
17.214,0.55,16.6,9.1215,9.1468
17.206,0.55,16.6,9.1293,9.1468
17.199,0.55,16.6,9.1352,9.1468
17.194,0.55,16.6,9.1395,9.1468
17.19,0.55,16.6,9.1426,9.1468
17.186,0.55,16.6,9.1449,9.1468
17.183,0.55,16.6,9.1465,9.1468
17.181,0.55,16.6,9.1476,9.1468
17.179,0.55,16.6,9.1484,9.1468
17.178,0.55,16.6,9.1488,9.1468
17.177,0.55,16.6,9.149,9.1468
17.176,0.55,16.6,9.1491,9.1468
17.175,0.55,16.6,9.1491,9.1468
17.175,0.55,16.6,9.149,9.1468
17.175,0.55,16.6,9.1488,9.1468
17.174,0.55,16.6,9.1487,9.1468
17.174,0.55,16.6,9.1485,9.1468
17.174,0.55,16.6,9.1483,9.1468
17.174,0.55,16.6,9.1481,9.1468
17.174,0.55,16.6,9.148,9.1468
17.174,0.55,16.6,9.1478,9.1468
17.174,0.55,16.6,9.1477,9.1468
17.174,0.55,16.6,9.1475,9.1468
17.174,0.55,16.6,9.1474,9.1468
17.174,0.55,16.6,9.1473,9.1468
17.174,0.55,16.6,9.1473,9.1468
17.174,0.55,16.6,9.1472,9.1468
17.174,0.55,16.6,9.1471,9.1468
17.174,0.55,16.6,9.1471,9.1468
15.671,0.55,16.6,9.147,7.6933
15.027,0.55,16.6,9.147,7.6933
14.932,0.55,16.6,8.9879,7.6933
15.207,0.55,16.6,8.6573,7.6933
15.695,0.55,16.6,8.0998,7.6933
16.071,0.55,16.6,7.7403,7.6933
16.282,0.55,16.6,7.61,7.6933
16.386,0.55,16.6,7.5707,7.6933
16.428,0.55,16.6,7.5698,7.6933
16.438,0.55,16.6,7.585,7.6933
16.433,0.55,16.6,7.6058,7.6933
16.422,0.55,16.6,7.6267,7.6933
16.41,0.55,16.6,7.6449,7.6933
16.399,0.55,16.6,7.6595,7.6933
16.39,0.55,16.6,7.6705,7.6933
16.384,0.55,16.6,7.6783,7.6933
16.379,0.55,16.6,7.6837,7.6933
16.376,0.55,16.6,7.6872,7.6933
16.374,0.55,16.6,7.6895,7.6933
16.373,0.55,16.6,7.6909,7.6933
