u1,u2,u3,y,ysp
14.376,0.55,16.6,3.6977,5.4189
14.748,0.55,16.6,3.8066,5.4189
14.552,0.55,16.6,3.9837,5.4189
14.05,0.55,16.6,4.2618,5.4189
13.463,0.55,16.6,4.7072,5.4189
12.904,0.55,16.6,5.1376,5.4189
12.412,0.55,16.6,5.3618,5.4189
12.007,0.55,16.6,5.4767,5.4189
11.699,0.55,16.6,5.5346,5.4189
11.484,0.55,16.6,5.5581,5.4189
11.348,0.55,16.6,5.5599,5.4189
11.277,0.55,16.6,5.5481,5.4189
11.253,0.55,16.6,5.5286,5.4189
11.26,0.55,16.6,5.5057,5.4189
11.286,0.55,16.6,5.4828,5.4189
11.321,0.55,16.6,5.462,5.4189
11.357,0.55,16.6,5.4446,5.4189
11.391,0.55,16.6,5.4311,5.4189
11.42,0.55,16.6,5.4214,5.4189
11.442,0.55,16.6,5.4152,5.4189
11.459,0.55,16.6,5.4117,5.4189
11.47,0.55,16.6,5.4103,5.4189
11.477,0.55,16.6,5.4104,5.4189
11.481,0.55,16.6,5.4113,5.4189
11.481,0.55,16.6,5.4126,5.4189
11.481,0.55,16.6,5.4141,5.4189
11.479,0.55,16.6,5.4155,5.4189
11.477,0.55,16.6,5.4167,5.4189
11.475,0.55,16.6,5.4177,5.4189
11.474,0.55,16.6,5.4184,5.4189
11.472,0.55,16.6,5.4189,5.4189
11.471,0.55,16.6,5.4192,5.4189
11.47,0.55,16.6,5.4193,5.4189
11.469,0.55,16.6,5.4194,5.4189
11.469,0.55,16.6,5.4194,5.4189
11.469,0.55,16.6,5.4193,5.4189
11.469,0.55,16.6,5.4193,5.4189
12.805,0.55,16.6,5.4192,6.7717
14.107,0.55,16.6,5.4191,6.7717
15.197,0.55,16.6,5.514,6.7717
16.042,0.55,16.6,5.6628,6.7717
16.642,0.55,16.6,5.8239,6.7717
17.002,0.55,16.6,5.9795,6.7717
17.142,0.55,16.6,6.1242,6.7717
17.093,0.55,16.6,6.2573,6.7717
16.898,0.55,16.6,6.3786,6.7717
16.609,0.55,16.6,6.4871,6.7717
16.279,0.55,16.6,6.5813,6.7717
15.951,0.55,16.6,6.6596,6.7717
15.656,0.55,16.6,6.7205,6.7717
15.413,0.55,16.6,6.7642,6.7717
15.225,0.55,16.6,6.792,6.7717
15.092,0.55,16.6,6.8067,6.7717
15.004,0.55,16.6,6.8117,6.7717
14.953,0.55,16.6,6.8102,6.7717
14.93,0.55,16.6,6.8051,6.7717
14.926,0.55,16.6,6.7984,6.7717
14.934,0.55,16.6,6.7915,6.7717
14.948,0.55,16.6,6.7852,6.7717
14.964,0.55,16.6,6.78,6.7717
14.98,0.55,16.6,6.7759,6.7717
14.994,0.55,16.6,6.7731,6.7717
15.005,0.55,16.6,6.7712,6.7717
15.014,0.55,16.6,6.7701,6.7717
15.02,0.55,16.6,6.7696,6.7717
15.024,0.55,16.6,6.7695,6.7717
15.026,0.55,16.6,6.7697,6.7717
15.026,0.55,16.6,6.77,6.7717
15.026,0.55,16.6,6.7704,6.7717
15.026,0.55,16.6,6.7708,6.7717
15.025,0.55,16.6,6.7711,6.7717
15.024,0.55,16.6,6.7714,6.7717
15.023,0.55,16.6,6.7715,6.7717
15.022,0.55,16.6,6.7717,6.7717
15.022,0.55,16.6,6.7718,6.7717
15.021,0.55,16.6,6.7718,6.7717
15.021,0.55,16.6,6.7718,6.7717
15.021,0.55,16.6,6.7718,6.7717
15.021,0.55,16.6,6.7718,6.7717
15.021,0.55,16.6,6.7718,6.7717
16.263,0.55,16.6,6.7718,7.7965
17.446,0.55,16.6,6.7718,7.7965
18.175,0.55,16.6,6.8257,7.7965
