u1,u2,u3,y,ysp
15.072,0.55,16.6,6.6261,6.7717
15.071,0.55,16.6,6.6432,6.7717
15.07,0.55,16.6,6.6586,6.7717
15.068,0.55,16.6,6.6724,6.7717
15.065,0.55,16.6,6.6848,6.7717
15.063,0.55,16.6,6.6959,6.7717
15.06,0.55,16.6,6.7057,6.7717
15.057,0.55,16.6,6.7144,6.7717
15.054,0.55,16.6,6.7222,6.7717
15.051,0.55,16.6,6.729,6.7717
15.049,0.55,16.6,6.7349,6.7717
15.046,0.55,16.6,6.7402,6.7717
15.044,0.55,16.6,6.7447,6.7717
15.041,0.55,16.6,6.7487,6.7717
15.039,0.55,16.6,6.7522,6.7717
15.038,0.55,16.6,6.7552,6.7717
15.036,0.55,16.6,6.7577,6.7717
15.034,0.55,16.6,6.76,6.7717
15.033,0.55,16.6,6.7619,6.7717
15.032,0.55,16.6,6.7635,6.7717
15.031,0.55,16.6,6.7649,6.7717
16.273,0.55,16.6,6.7661,7.7965
16.86,0.55,16.6,6.7671,7.7965
17.071,0.55,16.6,6.8218,7.7965
17.139,0.55,16.6,6.9022,7.7965
17.153,0.55,16.6,6.9933,7.7965
17.137,0.55,16.6,7.0904,7.7965
17.098,0.55,16.6,7.1924,7.7965
17.037,0.55,16.6,7.299,7.7965
16.958,0.55,16.6,7.4097,7.7965
16.862,0.55,16.6,7.5225,7.7965
16.755,0.55,16.6,7.6327,7.7965
16.646,0.55,16.6,7.7325,7.7965
16.545,0.55,16.6,7.812,7.7965
16.464,0.55,16.6,7.8634,7.7965
16.41,0.55,16.6,7.8853,7.7965
16.383,0.55,16.6,7.8839,7.7965
16.376,0.55,16.6,7.8686,7.7965
16.383,0.55,16.6,7.8486,7.7965
16.396,0.55,16.6,7.8299,7.7965
16.409,0.55,16.6,7.8154,7.7965
16.42,0.55,16.6,7.8058,7.7965
16.427,0.55,16.6,7.8004,7.7965
16.43,0.55,16.6,7.7981,7.7965
16.431,0.55,16.6,7.7977,7.7965
16.431,0.55,16.6,7.7981,7.7965
16.43,0.55,16.6,7.7988,7.7965
16.429,0.55,16.6,7.7993,7.7965
16.428,0.55,16.6,7.7996,7.7965
16.427,0.55,16.6,7.7995,7.7965
16.427,0.55,16.6,7.7992,7.7965
16.427,0.55,16.6,7.7988,7.7965
16.427,0.55,16.6,7.7984,7.7965
16.427,0.55,16.6,7.798,7.7965
16.427,0.55,16.6,7.7977,7.7965
16.428,0.55,16.6,7.7974,7.7965
16.428,0.55,16.6,7.7973,7.7965
16.428,0.55,16.6,7.7971,7.7965
16.428,0.55,16.6,7.7971,7.7965
16.428,0.55,16.6,7.797,7.7965
16.428,0.55,16.6,7.797,7.7965
16.428,0.55,16.6,7.797,7.7965
16.428,0.55,16.6,7.797,7.7965
16.428,0.55,16.6,7.7969,7.7965
16.428,0.55,16.6,7.7969,7.7965
16.428,0.55,16.6,7.7968,7.7965
16.428,0.55,16.6,7.7968,7.7965
16.428,0.55,16.6,7.7968,7.7965
16.428,0.55,16.6,7.7967,7.7965
17.648,0.55,16.6,7.7967,9.1468
18.181,0.55,16.6,7.7967,9.1468
18.228,0.55,16.6,8.1456,9.1468
18.021,0.55,16.6,8.6394,9.1468
17.77,0.55,16.6,8.9119,9.1468
17.558,0.55,16.6,9.0496,9.1468
17.404,0.55,16.6,9.1226,9.1468
17.303,0.55,16.6,9.1607,9.1468
17.241,0.55,16.6,9.179,9.1468
17.205,0.55,16.6,9.1863,9.1468
17.184,0.55,16.6,9.1875,9.1468
17.172,0.55,16.6,9.1854,9.1468
17.166,0.55,16.6,9.1818,9.1468
17.163,0.55,16.6,9.1776,9.1468
17.162,0.55,16.6,9.1734,9.1468
17.162,0.55,16.6,9.1694,9.1468
17.163,0.55,16.6,9.1657,9.1468
17.164,0.55,16.6,9.1625,9.1468
17.165,0.55,16.6,9.1596,9.1468
17.166,0.55,16.6,9.1572,9.1468
17.167,0.55,16.6,9.1552,9.1468
17.168,0.55,16.6,9.1535,9.1468
17.169,0.55,16.6,9.1521,9.1468
17.17,0.55,16.6,9.1509,9.1468
17.171,0.55,16.6,9.15,9.1468
17.171,0.55,16.6,9.1492,9.1468
17.172,0.55,16.6,9.1486,9.1468
