t,y,yref
10,7,7
20,6.9962,7.0015
30,6.9086,6.8648
40,6.7517,6.6808
50,6.5457,6.4844
60,6.3088,6.281
70,6.0562,6.0617
80,5.8005,5.8039
90,5.5644,5.4723
100,5.3907,5.0783
110,5.269,4.6656
120,5.1849,4.4106
130,5.1304,4.2817
140,5.0977,4.213
150,5.0791,4.1738
160,5.069,4.1497
170,5.0637,4.1337
180,5.061,4.1222
190,5.0596,4.1131
200,5.0587,4.1054
210,5.0581,4.0987
220,5.0575,4.0925
230,5.0568,4.0868
240,5.056,4.0814
250,5.0551,4.0764
260,5.0542,4.0716
270,5.0532,4.067
280,5.0521,4.0628
290,5.051,4.0587
300,5.0499,4.0549
310,5.0488,4.0513
320,5.0477,4.0479
330,5.0466,4.0448
340,5.0455,4.0418
350,5.0445,4.039
360,5.0434,4.0363
370,5.0425,4.0339
380,5.0415,4.0316
390,5.0406,4.0294
400,5.0397,4.0274
410,5.0389,4.0255
420,5.0381,4.0237
430,5.0623,4.0619
440,5.1023,4.1251
450,5.1489,4.2073
460,5.1967,4.3062
470,5.2422,4.4203
480,5.2837,4.5457
490,5.3198,4.6727
500,5.3496,4.7869
510,5.3726,4.8776
520,5.389,4.9421
530,5.3995,4.9843
540,5.4053,5.0095
550,5.4077,5.0227
560,5.4076,5.028
570,5.4061,5.0283
580,5.4038,5.0258
590,5.4013,5.022
600,5.3987,5.0179
610,5.3963,5.0139
620,5.3942,5.0104
630,5.3924,5.0075
640,5.3908,5.0053
650,5.3896,5.0036
660,5.3886,5.0025
670,5.3878,5.0017
680,5.3871,5.0012
690,5.3865,5.0009
700,5.3861,5.0007
710,5.3857,5.0006
720,5.3854,5.0006
730,5.3851,5.0006
740,5.3848,5.0006
750,5.3846,5.0006
760,5.3844,5.0006
770,5.3842,5.0005
780,5.3841,5.0005
790,5.3839,5.0004
800,5.3837,5.0002
810,5.3836,5
820,5.3834,4.9998
830,5.4082,5.0997
840,5.4486,5.2273
850,5.4942,5.3431
860,5.5384,5.4371
870,5.5781,5.5111
880,5.6128,5.5698
890,5.6427,5.6171
900,5.6684,5.6559
910,5.6908,5.6885
920,5.7104,5.7164
930,5.7278,5.7405
940,5.7434,5.7618
950,5.7575,5.7807
960,5.7704,5.7977
970,5.7821,5.8131
980,5.793,5.8272
990,5.8031,5.8401
1000,5.8124,5.852
1010,5.8212,5.8629
1020,5.8294,5.8731
1030,5.8371,5.8826
1040,5.8443,5.8914
1050,5.8511,5.8996
1060,5.8575,5.9073
1070,5.8635,5.9145
1080,5.8691,5.9211
1090,5.8744,5.9274
1100,5.8793,5.9332
1110,5.884,5.9386
1120,5.8883,5.9436
1130,5.8924,5.9483
1140,5.8961,5.9527
1150,5.8996,5.9567
1160,5.9029,5.9604
1170,5.9059,5.9639
1180,5.9087,5.9671
1190,5.9113,5.97
1200,5.9137,5.9727
1210,5.9158,5.9752
1220,5.9178,5.9775
1230,5.9464,6.0111
1240,5.9951,6.0613
1250,6.0568,6.1203
1260,6.1274,6.1849
1270,6.204,6.2529
1280,6.2842,6.3228
1290,6.3655,6.3934
1300,6.4456,6.4637
1310,6.5228,6.5328
1320,6.5956,6.6002
1330,6.663,6.6651
1340,6.7242,6.7272
1350,6.7787,6.7855
1360,6.8264,6.8395
1370,6.8672,6.8882
1380,6.9012,6.9309
1390,6.9286,6.9669
1400,6.95,6.9957
1410,6.9658,7.0174
1420,6.9767,7.0326
1430,6.9837,7.0419
1440,6.9874,7.0465
1450,6.9887,7.0475
1460,6.9882,7.046
1470,6.9865,7.0427
1480,6.984,7.0385
1490,6.9812,7.0338
1500,6.9782,7.029
1510,6.9752,7.0244
1520,6.9723,7.0201
1530,6.9697,7.0163
1540,6.9674,7.0129
1550,6.9654,7.0099
1560,6.9636,7.0075
1570,6.9622,7.0055
1580,6.961,7.0039
1590,6.9601,7.0026
1600,6.9594,7.0017
1610,6.9588,7.0009
1620,6.9584,7.0004
1630,6.986,7.0525
1640,7.0369,7.1496
1650,7.1012,7.2915
1660,7.1668,7.4765
1670,7.218,7.665
1680,7.2489,7.8001
1690,7.267,7.8899
1700,7.2779,7.9488
1710,7.2848,7.9854
1720,7.289,8.0059
1730,7.2915,8.0157
1740,7.2929,8.0189
1750,7.2938,8.0186
1760,7.2943,8.0167
1770,7.2946,8.0143
1780,7.2948,8.012
1790,7.295,8.01
1800,7.2952,8.0083
1810,7.2954,8.0069
1820,7.2956,8.0058
1830,7.2958,8.0049
1840,7.296,8.0042
1850,7.2961,8.0036
1860,7.2962,8.0031
1870,7.2964,8.0026
1880,7.2965,8.0023
1890,7.2966,8.002
1900,7.2967,8.0017
1910,7.2967,8.0015
1920,7.2968,8.0013
1930,7.2969,8.0011
1940,7.297,8.0009
1950,7.297,8.0008
1960,7.2971,8.0007
1970,7.2971,8.0006
1980,7.2971,8.0005
1990,7.2972,8.0005
2000,7.2972,8.0004
2010,7.2972,8.0004
2020,7.2973,8.0004
2030,7.3189,8.2256
2040,7.3484,8.4896
2050,7.3755,8.6658
2060,7.3958,8.7647
2070,7.4099,8.822
2080,7.4199,8.8584
2090,7.4273,8.8839
2100,7.4332,8.903
2110,7.4381,8.9181
2120,7.4422,8.9304
2130,7.4457,8.9405
2140,7.4487,8.9489
2150,7.4513,8.956
2160,7.4535,8.9621
2170,7.4555,8.9672
2180,7.4573,8.9716
2190,7.4588,8.9753
2200,7.4601,8.9785
2210,7.4613,8.9813
2220,7.4623,8.9837
2230,7.4632,8.9858
2240,7.464,8.9876
2250,7.4647,8.9891
2260,7.4653,8.9905
2270,7.4659,8.9917
2280,7.4664,8.9927
2290,7.4668,8.9936
2300,7.4672,8.9944
2310,7.4675,8.9951
2320,7.4678,8.9957
2330,7.4681,8.9962
2340,7.4683,8.9967
2350,7.4685,8.9971
2360,7.4687,8.9974
2370,7.4689,8.9977
2380,7.469,8.998
2390,7.4692,8.9982
2400,7.4693,8.9984
2410,7.4694,8.9986
2420,7.4695,8.9988
2430,7.4913,9.077
2440,7.5212,9.1564
2450,7.5525,9.2241
2460,7.584,9.2832
2470,7.6165,9.3381
2480,7.6517,9.3917
2490,7.6907,9.4456
2500,7.7342,9.5001
2510,7.7824,9.5545
2520,7.8344,9.6075
2530,7.8893,9.6581
2540,7.9454,9.7051
2550,8.0013,9.7481
2560,8.0559,9.7868
2570,8.108,9.8211
2580,8.157,9.8514
2590,8.2024,9.8777
2600,8.2439,9.9005
2610,8.2815,9.9201
2620,8.3152,9.9368
2630,8.3451,9.951
2640,8.3715,9.963
2650,8.3945,9.973
2660,8.4145,9.9812
2670,8.4316,9.9881
2680,8.4463,9.9936
2690,8.4587,9.998
2700,8.4692,10.002
2710,8.4778,10.004
2720,8.485,10.006
2730,8.4908,10.008
2740,8.4954,10.009
2750,8.4991,10.009
2760,8.5019,10.01
2770,8.5041,10.01
2780,8.5056,10.01
2790,8.5066,10.01
2800,8.5073,10.009
