y,w1,w2,w3,w4,w5
9.23,2.9303e-24,1.3221e-12,0.0002081,0.33618,0.66361
9.3,8.2814e-25,5.3013e-13,0.0001217,0.26266,0.73722
9.37,2.285e-25,2.0752e-13,6.9483e-05,0.20035,0.79958
9.44,6.1805e-26,7.9635e-14,3.889e-05,0.14981,0.85015
9.51,1.6455e-26,3.008e-14,2.1425e-05,0.11026,0.88972
9.58,4.3276e-27,1.1224e-14,1.166e-05,0.080167,0.91982
9.65,1.1278e-27,4.1497e-15,6.2875e-06,0.057754,0.94224
9.72,2.919e-28,1.5238e-15,3.3675e-06,0.041325,0.95867
9.79,7.5181e-29,5.5682e-16,1.7947e-06,0.029424,0.97057
9.86,1.9294e-29,2.0274e-16,9.5309e-07,0.020875,0.97912
9.93,4.939e-30,7.3629e-17,5.0485e-07,0.014773,0.98523
10,1.262e-30,2.6691e-17,2.6693e-07,0.010435,0.98956
