t,y,yref
10,7,7
20,7.2593,7.0015
30,7.4646,6.8648
40,7.6028,6.6808
50,7.6875,6.4844
60,7.7322,6.281
70,7.7487,6.0617
80,7.7467,5.8039
90,7.7413,5.4723
100,7.7592,5.0783
110,7.7931,4.6656
120,7.8359,4.4106
130,7.8842,4.2817
140,7.9349,4.213
150,7.9847,4.1738
160,8.0314,4.1497
170,8.074,4.1337
180,8.1121,4.1222
190,8.1459,4.1131
200,8.1754,4.1054
210,8.2012,4.0987
220,8.2237,4.0925
230,8.2432,4.0868
240,8.2601,4.0814
250,8.2747,4.0764
260,8.2873,4.0716
270,8.2982,4.067
280,8.3076,4.0628
290,8.3157,4.0587
300,8.3227,4.0549
310,8.3288,4.0513
320,8.334,4.0479
330,8.3384,4.0448
340,8.3423,4.0418
350,8.3456,4.039
360,8.3484,4.0363
370,8.3508,4.0339
380,8.3529,4.0316
390,8.3546,4.0294
400,8.3561,4.0274
410,8.3574,4.0255
420,8.3585,4.0237
430,8.3744,4.0619
440,8.3984,4.1251
450,8.425,4.2073
460,8.4513,4.3062
470,8.4758,4.4203
480,8.4976,4.5457
490,8.5159,4.6727
500,8.5305,4.7869
510,8.5412,4.8776
520,8.5482,4.9421
530,8.552,4.9843
540,8.5534,5.0095
550,8.5531,5.0227
560,8.5516,5.028
570,8.5496,5.0283
580,8.5473,5.0258
590,8.5451,5.022
600,8.543,5.0179
610,8.5411,5.0139
620,8.5395,5.0104
630,8.5381,5.0075
640,8.537,5.0053
650,8.536,5.0036
660,8.5353,5.0025
670,8.5346,5.0017
680,8.5341,5.0012
690,8.5337,5.0009
700,8.5334,5.0007
710,8.5331,5.0006
720,8.5329,5.0006
730,8.5327,5.0006
740,8.5325,5.0006
750,8.5323,5.0006
760,8.5322,5.0006
770,8.5321,5.0005
780,8.5319,5.0005
790,8.5318,5.0004
800,8.5317,5.0002
810,8.5317,5
820,8.5316,4.9998
830,8.5465,5.0997
840,8.5695,5.2273
850,8.5944,5.3431
860,8.6178,5.4371
870,8.6382,5.5111
880,8.6555,5.5698
890,8.67,5.6171
900,8.6822,5.6559
910,8.6925,5.6885
920,8.7013,5.7164
930,8.7089,5.7405
940,8.7157,5.7618
950,8.7216,5.7807
960,8.727,5.7977
970,8.7318,5.8131
980,8.7363,5.8272
990,8.7404,5.8401
1000,8.7442,5.852
1010,8.7477,5.8629
1020,8.751,5.8731
1030,8.7541,5.8826
1040,8.757,5.8914
1050,8.7597,5.8996
1060,8.7623,5.9073
1070,8.7647,5.9145
1080,8.7669,5.9211
1090,8.769,5.9274
1100,8.771,5.9332
1110,8.7728,5.9386
1120,8.7745,5.9436
1130,8.7761,5.9483
1140,8.7776,5.9527
1150,8.779,5.9567
1160,8.7803,5.9604
1170,8.7814,5.9639
1180,8.7825,5.9671
1190,8.7835,5.97
1200,8.7844,5.9727
1210,8.7852,5.9752
1220,8.786,5.9775
1230,8.8027,6.0111
1240,8.8302,6.0613
1250,8.8641,6.1203
1260,8.9022,6.1849
1270,8.9429,6.2529
1280,8.9848,6.3228
1290,9.0268,6.3934
1300,9.0676,6.4637
1310,9.1062,6.5328
1320,9.142,6.6002
1330,9.1745,6.6651
1340,9.2033,6.7272
1350,9.2285,6.7855
1360,9.2498,6.8395
1370,9.2675,6.8882
1380,9.2815,6.9309
1390,9.2921,6.9669
1400,9.2996,6.9957
1410,9.3043,7.0174
1420,9.3067,7.0326
1430,9.3073,7.0419
1440,9.3064,7.0465
1450,9.3045,7.0475
1460,9.302,7.046
1470,9.2991,7.0427
1480,9.2961,7.0385
1490,9.2931,7.0338
1500,9.2903,7.029
1510,9.2876,7.0244
1520,9.2853,7.0201
1530,9.2831,7.0163
1540,9.2813,7.0129
1550,9.2797,7.0099
1560,9.2784,7.0075
1570,9.2773,7.0055
1580,9.2764,7.0039
1590,9.2756,7.0026
1600,9.2751,7.0017
1610,9.2746,7.0009
1620,9.2743,7.0004
1630,9.2908,7.0525
1640,9.3198,7.1496
1650,9.3554,7.2915
1660,9.3904,7.4765
1670,9.4162,7.665
1680,9.4301,7.8001
1690,9.437,7.8899
1700,9.4405,7.9488
1710,9.442,7.9854
1720,9.4423,8.0059
1730,9.442,8.0157
1740,9.4412,8.0189
1750,9.4404,8.0186
1760,9.4395,8.0167
1770,9.4387,8.0143
1780,9.4379,8.012
1790,9.4373,8.01
1800,9.4367,8.0083
1810,9.4362,8.0069
1820,9.4358,8.0058
1830,9.4355,8.0049
1840,9.4352,8.0042
1850,9.4349,8.0036
1860,9.4347,8.0031
1870,9.4345,8.0026
1880,9.4343,8.0023
1890,9.4342,8.002
1900,9.4341,8.0017
1910,9.4339,8.0015
1920,9.4339,8.0013
1930,9.4338,8.0011
1940,9.4337,8.0009
1950,9.4336,8.0008
1960,9.4336,8.0007
1970,9.4335,8.0006
1980,9.4335,8.0005
1990,9.4335,8.0005
2000,9.4334,8.0004
2010,9.4334,8.0004
2020,9.4334,8.0004
2030,9.4463,8.2256
2040,9.463,8.4896
2050,9.4774,8.6658
2060,9.4875,8.7647
